complaint_id,complaint_text,category,sentiment_label,polarity_score,priority,source
C0001,Happy to report that new e-book subscriptions added this year are genuinely useful.,Library,positive,0.222,Low,claude
C0002,Happy to report that newly renovated hostel rooms are clean and comfortable.,Hostel/Accommodation,positive,0.602,Low,claude
C0003,"To be frank, scholarship disbursement has been delayed for over two months now. This has been going on for weeks.",Administrative,negative,-0.737,Medium,claude
C0004,Seeking clarification on the credit transfer policy for exchange students.,General/Suggestion,neutral,0.022,Low,claude
C0005,Drinking water coolers on campus are mostly non-functional.,Infrastructure,neutral,0.0,Medium,claude
C0006,There is no proper ramp access for differently-abled students in Block C.,Infrastructure,neutral,0.0,Medium,claude
C0007,"To be frank, drinking water coolers on campus are mostly non-functional. This needs to be fixed soon.",Infrastructure,neutral,0.2,Medium,claude
C0008,"I'm really frustrated that re-checking process for answer sheets takes way too long, over a month. This needs to be fixed soon.",Examination,neutral,0.2,Medium,claude
C0009,Course content is outdated and does not match current industry standards.,Academic,neutral,0.0,Medium,claude
C0010,"The revised curriculum finally includes more practical, project-based work.",Academic,positive,0.304,Low,claude
C0011,Asking whether hostel allotment for next year has been finalized. Thanks in advance.,General/Suggestion,neutral,0.046,Low,claude
C0012,There is no proper feedback given on submitted assignments.,Academic,neutral,0.0,Medium,claude
C0013,"For information, requesting information on how to apply for an exam re-evaluation. Thanks in advance.",General/Suggestion,neutral,0.021,Medium,claude
C0014,It's disappointing that assignment upload feature on the portal fails right before deadlines. This has been going on for weeks.,IT/Technical,neutral,0.0,Medium,claude
C0015,"Honestly, faculty behavior in the last parent-teacher meeting was unprofessional. This needs to be fixed soon.",Faculty/Staff Behavior,neutral,0.2,Medium,claude
C0016,Requesting an extension of library hours during the exam period.,General/Suggestion,neutral,0.091,Low,claude
C0017,"Online class links are shared late, we miss the first ten minutes regularly.",IT/Technical,neutral,0.0,Medium,claude
C0018,There is no proper security check at the hostel gate at night.,Hostel/Accommodation,neutral,0.0,Medium,claude
C0019,Reference books requested last semester still haven't been added.,Library,neutral,0.0,Medium,claude
C0020,The new online exam system is smooth and easy to use.,Examination,positive,0.371,Low,claude
C0021,The course instructor is very knowledgeable and answers doubts patiently.,Academic,positive,0.211,Low,claude
C0022,"To be frank, online class links are shared late, we miss the first ten minutes regularly. Please look into this urgently.",IT/Technical,neutral,0.0,Medium,claude
C0023,The mentor assigned to us is genuinely helpful and checks in regularly.,Faculty/Staff Behavior,positive,0.386,Low,claude
C0024,Happy to report that our class teacher is always supportive and encourages open discussion.,Faculty/Staff Behavior,positive,0.464,Low,claude
C0025,"To be frank, notifications from the college app are delayed by several hours sometimes.",IT/Technical,negative,-0.62,Medium,claude
C0026,Frequent power outages in the hostel disrupt study time every evening.,Hostel/Accommodation,neutral,0.0,Medium,claude
C0027,The newly built computer lab has excellent facilities.,Infrastructure,positive,0.554,Low,claude
C0028,Power cuts during lab sessions have become a regular problem this month.,Infrastructure,neutral,-0.2,Medium,claude
C0029,Staff at the department office were polite and resolved my query quickly.,Faculty/Staff Behavior,positive,0.218,Low,claude
C0030,The subject matter expert conducted an excellent guest lecture last week.,Academic,positive,0.169,Low,claude
C0031,Marks distribution was not disclosed clearly for the internal assessment.,Examination,neutral,0.0,Medium,claude
C0032,"Class timing overlaps with another core subject, scheduling needs review.",Academic,neutral,-0.099,Low,claude
C0033,Question papers had multiple printing errors this semester. This has been going on for weeks.,Examination,neutral,0.0,Medium,claude
C0034,"Honestly, getting a bonafide certificate took over two weeks of follow-up. This needs to be fixed soon.",Administrative,neutral,0.2,Medium,claude
C0035,Library doesn't have enough copies of the prescribed textbooks.,Library,neutral,0.0,Medium,claude
