text,category,priority,source,category_encoded,priority_encoded
ventilator inverter exhaust noisy balcony,Hostels,High,synth_highacc,1,2
cement brick burst replace repair,Maintenance,Low,synth_highacc,4,1
bathroom staircase dirty mug fan,Hostels,High,synth_highacc,1,2
complaint drugs registered harassment sexually,Security / Discipline,High,synth_highacc,6,2
email authentication sending browser firmware,IT Support,Low,synth_highacc,0,1
tax gst reimbursement pending fund,Fees / Finance,High,synth_highacc,3,2
thesis cancel overdue seminar paper,Academics,Medium,synth_highacc,2,0
cctv thief footage interrogate thieves,Security / Discipline,Low,synth_highacc,6,1
borrow locate limit newspaper newspaper,Library,Medium,synth_highacc,8,0
interest receipt late waiver bank,Fees / Finance,Low,synth_highacc,3,1
table laundry wobbling geyser detergent,Hostels,High,synth_highacc,1,2
kitchen spoil hygiene sabzi rice,Canteen,Medium,synth_highacc,9,0
towel washroom rough bunk inverter,Hostels,High,synth_highacc,1,2
drainage cupboard mattress tap hanger,Hostels,High,synth_highacc,1,2
food coffee shortage water plate,Canteen,High,synth_highacc,9,2
credit mentor transfer report delayed,Academics,Low,synth_highacc,2,1
wire switch repair crack sweeping,Maintenance,Medium,synth_highacc,4,0
laundry ventilator service toilet window,Hostels,Low,synth_highacc,1,1
finance treasury statement scholarship withdrawal,Fees / Finance,Low,synth_highacc,3,1
vandalism suspicious property incident danger,Security / Discipline,Medium,synth_highacc,6,0
sewage floor backup cement damage,Maintenance,Medium,synth_highacc,4,0
ram update upgrade driver adapter,IT Support,Medium,synth_highacc,0,0
tease interrogate sexual stole patrol,Security / Discipline,High,synth_highacc,6,2
dean migration approval clerk policy,Administration,Low,synth_highacc,7,1
admission seal cancellation document document,Administration,High,synth_highacc,7,2
geyser pillow leaking soap staircase,Hostels,High,synth_highacc,1,2
can we get a few more newspapers for the common room currently we only get one copy of the local paper and it s usually taken by 8 am having a second copy or a national daily would be great,Hostels,Low,complaint_triage,1,1
vpn backup routing scanner display,IT Support,Low,synth_highacc,0,1
subject cancel elective topic chapter,Academics,High,synth_highacc,2,2
ip projector address software server,IT Support,High,synth_highacc,0,2
proctoring tool crashes during camera check app closes after verifying webcam reinstall didn t help and i m mid exam window please provide a stable build or workaround urgent please,IT Support,High,complaint_triage,0,2
the markers used in the tutorial rooms are often dried out it would be helpful if the department could provide a fresh set to the class representatives at the start of each month to ensure the board work is visible,Academics,Low,complaint_triage,2,1
conductor windscreen rude petrol numberplate,Transport,Low,synth_highacc,5,1
blanket inverter torn table almirah,Hostels,Low,synth_highacc,1,1
regulation pending strict affidavit scholarship,Administration,Medium,synth_highacc,7,0
payment receipt failed arrear netbanking,Fees / Finance,Medium,synth_highacc,3,0
roommate heating noisy heater blanket,Hostels,Medium,synth_highacc,1,0
pickup drop overcrowded cycle bus,Transport,Low,synth_highacc,5,1
driver windscreen absent van windscreen,Transport,Low,synth_highacc,5,1
bibliography return section subscription librarian,Library,Low,synth_highacc,8,1
fare route increased overcrowded numberplate,Transport,Medium,synth_highacc,5,0
the floor mats at the entrance are quite worn out they don t really clean our shoes anymore and they slip around on the tiles it might be time to get some new heavy duty rubber mats,Hostels,Low,complaint_triage,1,1
laundry inverter machine noisy chair,Hostels,Low,synth_highacc,1,1
patrol threatened laptop investigate threatened,Security / Discipline,High,synth_highacc,6,2
hostel toilet expensive warden,Hostels,Medium,synth_highacc,1,0
raped camera assaulted accused senior,Security / Discipline,Low,synth_highacc,6,1
someone spilled oil all over the stairs in the science building and didn t clean it up i saw two people slip and fall already it s a major hazard,Security / Discipline,Medium,complaint_triage,6,0
bed table squeaky ventilator sink,Hostels,High,synth_highacc,1,2
taste pickle bad lunch taste,Canteen,Medium,synth_highacc,9,0
schedule petrol weekend headlight vehicle,Transport,Low,synth_highacc,5,1
aisle almanac light desk magazine,Library,High,synth_highacc,8,2
